title,price,reviews,rating,company,customerreviews,primaryprice,brand,totalreviews
Gorilla 3 Blade 400MM Energy Efficient Pedestal Fan with LED & Remote (White)," 3,469.00",nan,nan,gorilla,,,gorilla,
Hans Lighting Solutions Metal Chandelier with Remote LED Ceiling Fan(Bright Gold),,nan,nan,Hans Lighting Solutions,,,Hans Lighting Solutions,
ANSIO High Speed Pedestal Fan with 2 Hour Timer 400 mm / 16 Inch | 100% Copper Motor with High Speed Performance - 120 Watts 2300 RPM (Black),,101,4.6,ANSIO,4.6 out of 5 stars,,ANSIO,101 customer reviews
"Lifelong LLSFPR01W Ceiling Fan, White",,156,3.2,Lifelong,3.2 out of 5 stars,,Lifelong,156 customer reviews
Bajaj Regal Gold 72-Watt Premium Ceiling Fan (Ivory)," 2,599.00",9,4.2,Bajaj,4.2 out of 5 stars,,Bajaj,9 customer reviews
"Gorilla Renesa+ Energy Saving 5 Star Rated Ceiling Fan With Remote Control and BLDC Motor,1200mm (Pearl White)"," 4,132.00",3,3.4,gorilla,3.4 out of 5 stars,,gorilla,3 customer reviews
Luminous Deco Premium Copter 1200mm Ceiling Fan (Espresso Copper)," 2,425.00",4,2.5,Luminous,2.5 out of 5 stars,,Luminous,4 customer reviews
Bajaj Tezz 1200mm Ceiling Fan (White)," 1,309.00",1,3.0,Bajaj,3.0 out of 5 stars,,Bajaj,1 customer review
Orient Ceiling Fan Wendy with Remote Topaz Gold Brown 1200 MM (48 inch)," 3,399.00",11,2.9,Orient,2.9 out of 5 stars,,Orient,11 customer reviews
"LUMONY Metal Enclosed Round Base Ceiling Fan Chandelier Hook Hanger (Bronze Tone, 100kg Capacity)", 299.00,8,4.8,LUMONY,4.8 out of 5 stars,,LUMONY,8 customer reviews
Orient Energy Star 47-inch 48-Watt Energy Saver Ceiling Fan (Crystal White)," 2,120.00",23,3.5,Orient,3.5 out of 5 stars,,Orient,23 customer reviews
